State: start, Head: 21, Tape: BBBBBBBBBBBBBBBBBBBBB101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: init, Head: 20, Tape: BBBBBBBBBBBBBBBBBBBBB101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 21, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 22, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 23, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 24, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 25, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 26, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 27, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 28, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 29, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 30, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 31, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 32, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 33, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 34, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 35, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 36, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 37, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 38, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 39, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 40, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 41, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 42, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: right, Head: 43, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: readB, Head: 42, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*101000101BBBBBBBBBBBBBBBBBBBBB
State: addA, Head: 41, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: addA, Head: 40, Tape: BBBBBBBBBBBBBBBBBBBB+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
