State: start, Head: 12, Tape: BBBBBBBBBBBB101111*101001BBBBBBBBBBBB
State: init, Head: 11, Tape: BBBBBBBBBBBB101111*101001BBBBBBBBBBBB
State: right, Head: 12, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 13, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 14, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 15, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 16, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 17, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 18, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 19, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 20, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 21, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 22, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 23, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 24, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: right, Head: 25, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: readB, Head: 24, Tape: BBBBBBBBBBB+101111*101001BBBBBBBBBBBB
State: addA, Head: 23, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: addA, Head: 22, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: addA, Head: 21, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: addA, Head: 20, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: addA, Head: 19, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: addA, Head: 18, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: read, Head: 17, Tape: BBBBBBBBBBB+101111*10100BBBBBBBBBBBBB
State: have1, Head: 16, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: have1, Head: 15, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: have1, Head: 14, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBBBBBBBB+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 15, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 16, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: back1, Head: 17, Tape: BBBBBBBBBBI+10111c*10100BBBBBBBBBBBBB
State: read, Head: 16, Tape: BBBBBBBBBBI+101111*10100BBBBBBBBBBBBB
State: have1, Head: 15, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: have1, Head: 14, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBBBBBBBBI+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 15, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: back1, Head: 16, Tape: BBBBBBBBBII+1011c1*10100BBBBBBBBBBBBB
State: read, Head: 15, Tape: BBBBBBBBBII+101111*10100BBBBBBBBBBBBB
